id,utc_created,utc_updated,country,country_code,indicator_code,indicator,value,year
115,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Rwanda,RWA,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.95,2013
116,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Saudi Arabia",SAU,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.897,2013
117,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Senegal,SEN,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.864,2013
118,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Singapore,SGP,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.967,2013
119,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Sierra Leone",SLE,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.799,2013
120,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","El Salvador",SLV,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.965,2013
121,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Sao Tome and Principe",STP,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.894,2013
122,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Suriname,SUR,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.974,2013
123,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Slovakia,SVK,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",1,2013
124,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Slovenia,SVN,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",1.006,2013
125,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Sweden,SWE,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",1.004,2013
126,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Swaziland,SWZ,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.877,2013
127,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Syrian Arab Republic",SYR,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.851,2013
128,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Chad,TCD,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.762,2013
129,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Togo,TGO,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.803,2013
130,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Thailand,THA,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.99,2013
131,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Tajikistan,TJK,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.952,2013
132,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Timor-Leste,TLS,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.875,2013
133,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Tonga,TON,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.966,2013
134,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Trinidad and Tobago",TTO,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.994,2013
135,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Tunisia,TUN,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.891,2013
136,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Turkey,TUR,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.884,2013
137,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Tanzania (United Republic of)",TZA,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.916,2013
138,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Uganda,UGA,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.896,2013
139,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Ukraine,UKR,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",1.012,2013
140,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Uruguay,URY,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",1.015,2013
141,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","United States",USA,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.995,2013
142,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Uzbekistan,UZB,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.945,2013
143,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Venezuela (Bolivarian Republic of)",VEN,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.999,2013
144,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Vanuatu,VUT,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.9,2013
145,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Samoa,WSM,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.948,2013
146,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Yemen,YEM,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.738,2013
147,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Zambia,ZMB,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.913,2013
148,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Zimbabwe,ZWE,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.909,2013
